"site","code","subplot","sample","stigpall","apharudi","aphacaro","aphafulv","bracdepi","camppenn","campamer","campchro","campsubb","campnear","cremminu","formsubs","lasialie","lasiumbr","monomini","monoamer","myrmlati","myrmpine","myrmpunc","myrmspat","nylafais","ponepenn","prenimpa","procsila","struclyp","struohio","pyraorna","strurost","solemole","stenmeri","stenbrev","stendiec","stenimpa","stenschm","stenunkn","tapisess","temnlong","temncurv","site_name","utm_n","utm_e","n","e","elevation_m","sample_x","sample_y"
"ABCR","ABCRLS05A1","A",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abrams Creek",3944202,234842,35.6059966995406,-83.9271242663977,379,234817.5,3944226.5
"ABCR","ABCRLS05A2","A",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abrams Creek",3944202,234842,35.6059966995406,-83.9271242663977,379,234826.5,3944226.5
"ABCR","ABCRLS05A3","A",3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abrams Creek",3944202,234842,35.6059966995406,-83.9271242663977,379,234817.5,3944217.5
"ABCR","ABCRLS05A4","A",4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abrams Creek",3944202,234842,35.6059966995406,-83.9271242663977,379,234826.5,3944217.5
"ABCR","ABCRLS05B1","B",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Abrams Creek",3944202,234842,35.6059966995406,-83.9271242663977,379,234857.5,3944226.5
"ABCR","ABCRLS05B2","B",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abrams Creek",3944202,234842,35.6059966995406,-83.9271242663977,379,234866.5,3944226.5
"ABCR","ABCRLS05B3","B",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abrams Creek",3944202,234842,35.6059966995406,-83.9271242663977,379,234857.5,3944217.5
"ABCR","ABCRLS05B4","B",4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abrams Creek",3944202,234842,35.6059966995406,-83.9271242663977,379,234866.5,3944217.5
"ABCR","ABCRLS05C1","C",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abrams Creek",3944202,234842,35.6059966995406,-83.9271242663977,379,234817.5,3944186.5
"ABCR","ABCRLS05C2","C",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abrams Creek",3944202,234842,35.6059966995406,-83.9271242663977,379,234826.5,3944186.5
"ABCR","ABCRLS05C3","C",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Abrams Creek",3944202,234842,35.6059966995406,-83.9271242663977,379,234817.5,3944177.5
"ABCR","ABCRLS05C4","C",4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abrams Creek",3944202,234842,35.6059966995406,-83.9271242663977,379,234826.5,3944177.5
"ABCR","ABCRLS05D1","D",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abrams Creek",3944202,234842,35.6059966995406,-83.9271242663977,379,234857.5,3944186.5
"ABCR","ABCRLS05D2","D",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abrams Creek",3944202,234842,35.6059966995406,-83.9271242663977,379,234866.5,3944186.5
"ABCR","ABCRLS05D3","D",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Abrams Creek",3944202,234842,35.6059966995406,-83.9271242663977,379,234857.5,3944177.5
"ABCR","ABCRLS05D4","D",4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Abrams Creek",3944202,234842,35.6059966995406,-83.9271242663977,379,234866.5,3944177.5
"ALGR","ALGRLS04A1","A",1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,"Albright Grove",3956633,293739,35.7320735506209,-83.2806611989585,1087,293714.5,3956657.5
"ALGR","ALGRLS04A2","A",2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,"Albright Grove",3956633,293739,35.7320735506209,-83.2806611989585,1087,293723.5,3956657.5
"ALGR","ALGRLS04A3","A",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Albright Grove",3956633,293739,35.7320735506209,-83.2806611989585,1087,293714.5,3956648.5
