Site,Site Code,UTM N,UTM E,N,E,Elevation (m)
Abrams Creek,ABCR,3944202,234842,35.6059967,-83.92712427,379
Albright Grove,ALGR,3956633,293739,35.73207355,-83.2806612,1087
Balsam Gap,BAGA,3945491,302502,35.63348699,-83.18109648,1342
Cataloochee,CATA,3939968,311363,35.58545702,-83.08200766,1456
Double Spring Gap,DBSP,3938428,268956,35.56257383,-83.54924226,1707
Flat Creek,FLTC,3937816,302335,35.56430193,-83.18106168,1742
Fontana Dam,FODA,3927598,244709,35.4590715,-83.81309184,511
Goshen prong,GOPR,3943636,269621,35.60964096,-83.54339546,941
Indian Gap,INGP,3943401,278593,35.60957926,-83.44436199,1651
Katani Trail,KATR,3940443,285845,35.58453241,-83.36357694,786
Laurel Falls,LAFA,3950285,265904,35.66865481,-83.5863245,688
Lead Cove Trail,LECO,3943495,251493,35.60396862,-83.74328834,520
Noland Creek,NOCR,3927196,269003,35.46141006,-83.5455266,656
Noland Divide Tr.,NODI,3938595,275066,35.5654884,-83.48193083,1828
Oconaluftee,OCLF,3931728,291173,35.50715761,-83.30256933,625
Parson Branch,PABR,3932386,233816,35.49932044,-83.93455377,403
Purchase Knob,PRKB,3940422,313346,35.5899246,-83.06023863,1530
Ramsay Cascade,RAMY,3953883,288068,35.70609195,-83.34259435,941
Ramsey Cascades Tr.,RMCD,3953490,288399,35.70262279,-83.3388349,770
Roaring Fork,ROFR,3951369,276813,35.68095453,-83.46620335,900
Snake Den Ridge,SNRG,3957445,299228,35.74052671,-83.22021299,988
Sterling Gap,STGA,3952511,309575,35.69813115,-83.10469305,1231
Thomas Divide,THDI,3940048,282894,35.58032947,-83.39601506,1300
Tremont,TRMT,3947318,255900,35.63950138,-83.69584397,462
Tremont River,TRRI,3948323,255921,35.64855807,-83.69591654,388
Trillium Gap,TLGP,3950378,279670,35.67267145,-83.43438805,1419
Trillium Patch,TRPA,3942668,278092,35.60286361,-83.44968718,1658
Twenty Mile,TWMI,3928921,239384,35.46959946,-83.87212758,440
Twin Creeks,TWCR,3951806,273821,35.68420749,-83.49935963,719
